Component,Quantity,Dimensions,Notes
Rules - Medium Folio Set,1,4875x2475 px,Front and back
Haute & Hazard - Poker Deck,240,825x1125 px,60 starter + 144 Wardrobe + 16 Thrift + 20 Penalty
Stages - Holographic Foil Euro Poker Deck,12,825x1125 px,Landscape reading orientation
The Queens - Jumbo Deck,12,1125x1725 px,Signature Ability + Special Appeal
Player Aid - Postcard Mat Set,5,1875x1275 px,v7.9 play-generated Tips and five-phase turn order
Box - Medium Prototype Box,1,5850x5400 px,Required artboard
Solo Circuit v0.2 - Automa,18,825x1125 px,Optional separate module
Solo Circuit v0.2 - Personalities,12,825x1125 px,Optional separate module
